Name,RA,DE,Redshift,Vlsr,DistMpc,SDSSu,SDSSg,SDSSr,SDSSi,Re,R50,Ellipticity,PA,Mstar
NGC1324,3.417133,-5.745800,0.018842,5548.141710,76.714777,15.155868,13.685723,12.708283,13.028653,16.467220,20.900276,0.924336,-41.371118,10.8663
NGC1349,3.524307,4.380900,0.021952,6444.079390,90.032405,15.289441,13.751784,12.791624,13.084645,13.970305,18.521994,0.444653,43.787281,11.057
NGC1361,3.571593,-6.265000,0.017589,5185.473253,71.552582,15.627381,14.115457,13.189949,13.493849,12.436652,14.121808,0.457706,43.785299,10.6062
NGC1542,4.287273,4.781700,0.012436,3684.947034,51.130435,15.327968,14.008875,12.985000,13.346045,14.480717,16.838176,0.812874,41.990930,10.3127
NGC1645,4.735113,-5.465700,0.016058,4741.170909,65.264830,15.373070,13.720988,12.762405,13.080198,12.526188,14.121808,0.324420,19.693775,10.7607
NGC1656,4.764827,-5.136700,0.012455,3690.612243,50.489946,14.833591,13.435095,12.595442,12.878199,12.654117,17.511042,0.906807,6.196794,10.4597
NGC1659,4.774987,-4.788900,0.015559,4596.171332,63.267910,14.290494,13.446982,12.821098,13.062133,16.168419,19.508958,0.664951,-20.489943,10.1843
NGC1665,4.804747,-5.427600,0.009163,2724.064844,36.855688,15.033510,13.567383,12.704687,12.985052,14.474856,21.328357,0.532061,43.927834,10.201
NGC1666,4.809120,-6.570000,0.009227,2742.820237,37.041880,14.710264,13.255304,12.359824,12.665469,12.350730,16.269680,0.876870,23.373640,10.3251
NGC1667,4.810327,-6.320000,0.015304,4522.087055,62.118936,13.881856,12.833197,12.089472,12.322206,18.082474,20.757867,0.780535,13.763857,10.6893
NGC1677,4.847800,-4.892700,0.009340,2776.042339,37.623506,14.930951,14.192601,13.603675,13.819124,13.352914,11.147976,0.963389,-36.658096,9.34219
NGC2449,7.788973,26.930200,0.016519,4875.214728,69.723862,15.321481,13.754863,12.773968,13.103816,17.237417,22.030020,0.754212,-12.127042,10.7348
NGC2513,8.040187,9.413600,0.015639,4619.592141,64.919929,15.062867,13.268040,12.272168,12.605470,13.670926,17.511042,0.597382,-8.761536,10.9605
